sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-RG-A7D4-01	TCGA-RG-A7D4-01	11.90	Liver Hepatocellular Carcinoma	Liver
TCGA-UB-AA0U-01	TCGA-UB-AA0U-01	11.90	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9GU-01	TCGA-2Y-A9GU-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A9FS-01	TCGA-CC-A9FS-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAEB-01	TCGA-DD-AAEB-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVS-01	TCGA-DD-AAVS-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAVZ-01	TCGA-DD-AAVZ-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-AAV2-01	TCGA-G3-AAV2-01	11.89	Liver Hepatocellular Carcinoma	Liver
TCGA-BC-4072-01	TCGA-BC-4072-01	11.88	Liver Hepatocellular Carcinoma	Liver
TCGA-ED-A66Y-01	TCGA-ED-A66Y-01	11.88	Liver Hepatocellular Carcinoma	Liver
TCGA-UB-A7ME-01	TCGA-UB-A7ME-01	11.88	Liver Hepatocellular Carcinoma	Liver
TCGA-ZP-A9D2-01	TCGA-ZP-A9D2-01	11.88	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A1EH-11	TCGA-DD-A1EH-11	11.87	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACZ-01	TCGA-DD-AACZ-01	11.87	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A3R2-01	TCGA-FV-A3R2-01	11.87	Liver Hepatocellular Carcinoma	Liver
TCGA-ZS-A9CD-01	TCGA-ZS-A9CD-01	11.87	Liver Hepatocellular Carcinoma	Liver
GTEX-S32W-1926-SM-4AD63	GTEX-S32W-1926-SM-4AD63	11.86	Liver	Liver
TCGA-2V-A95S-01	TCGA-2V-A95S-01	11.86	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H7-01	TCGA-2Y-A9H7-01	11.86	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NE-01	TCGA-DD-A4NE-01	11.86	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A4NP-01	TCGA-DD-A4NP-01	11.86	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A3I1-01	TCGA-FV-A3I1-01	11.86	Liver Hepatocellular Carcinoma	Liver
